# Beispiel Streudaten - Messung 1
# q [nm^-1]	Intensität [a.u.]	Fehler [a.u.]
0.100000	9899.732691	990.973269
0.115140	7460.585503	747.058550
0.132571	5613.798586	562.379859
0.152642	4222.133199	423.213320
0.175751	3182.776538	319.277654
0.202359	2393.462169	240.346217
0.232995	1798.450160	180.845016
0.268270	1355.675596	136.567560
0.308884	1010.564333	102.056433
0.355648	777.657308	78.765731
0.409492	578.629971	58.862997
0.471487	422.024485	43.202449
0.542868	319.984417	32.998442
0.625055	238.849503	24.884950
0.719686	179.265880	18.926588
0.828643	134.984413	14.498441
0.954095	96.310320	10.631032
1.098541	67.740878	7.774088
1.264855	51.424307	6.142431
1.456348	38.147757	4.814776
1.676833	32.253142	4.225314
1.930698	17.990052	2.799005
2.222996	16.580116	2.658012
2.559548	12.996087	2.299609
2.947052	11.686052	2.168605
3.393222	0.011553	1.001155
3.906940	3.475334	1.347533
4.498433	0.913787	1.091379
5.179475	9.239161	1.923916
5.963623	3.587005	1.358701
6.866488	4.898802	1.489880
7.906043	0.561489	1.056149
9.102982	8.111166	1.811117
10.481131	1.439472	1.143947
12.067926	3.231366	1.323137
13.894955	3.479150	1.347915
15.998587	4.844636	1.484464
18.420700	2.495549	1.249555
21.209509	2.504931	1.250493
24.420531	1.571419	1.157142
28.117687	2.205018	1.220502
32.374575	2.523394	1.252339
37.275937	2.521021	1.252102
42.919343	3.110375	1.311037
49.417134	1.424213	1.142421
56.898660	0.274268	1.027427
65.512856	3.647250	1.364725
75.431201	2.341346	1.234135
86.851137	2.245216	1.224522
100.000000	0.227731	1.022773
